ceo,company,age,gender,mba,market_cap,industry
Andrew Witty,UnitedHealth Group,59,M,0,482.86,Health Care
Brian Cornell,Target Corp.,66,M,1,74.08,Consumer Staples
Jay D. Debertin,CHS,57,M,1,0.37,Consumer Staples
Corie Barry,Best Buy,49,F,0,15.87,Consumer Discretionary
William M. Brown,3M,62,M,1,58.25,Industrials
Andrew Cecere,U.S. Bancorp,63,M,1,64.65,Financials
Dave Bozeman,C.H. Robinson Worldwide,55,M,0,9.85,Industrials
Beth Ford,Land O’Lakes,60,F,1,19,Consumer Staples
Jeff Harmening,General Mills,57,M,1,40.22,Consumer Staples
Bob Frenzel,Xcel Energy,54,M,1,30.85,Utilities
James Cracchiolo,Ameriprise Financial,66,M,1,43.12,Financials
Christophe Beck,Ecolab,53,M,0,66.73,Materials
Jim Snee,Hormel Foods Corp.,57,M,1,19.89,Consumer Staples
Teresa J. Rasmussen,Thrivent,65,F,0,179,Financials
Michael T. Speetzen,Polaris,53,M,1,4.77,Consumer Discretionary
Geoff Martha,Medtronic,54,M,0,114.09,Health Care
