University,Region,Top 20
University of Nottingham,Europe,0
UCLA,West,1
University of North Dakota - Grand Forks,Midwest,0
UW - Madison,Midwest,0
College of St. Benedict,Midwest,0
Villanova University,Northeast,0
University of Pennsylvania,Northeast,1
University of St. Thomas,Midwest,0
University of Minnesota,Midwest,0
Bradley University,Midwest,0
Milwaukee School of Engineering,Midwest,0
Iowa State University,Midwest,0
Columbia University,Northeast,1
Depauw University,Midwest,0
Harvard University,Northeast,1
Georgia Tech,South,0
University of Chicago,Midwest,1
New York University,Northeast,0
Swiss Federal Institute of Technology Lausanne,Europe,1
New Mexico State University,West,0
Minnesota State University Moorhead,Midwest,0
Arizona State University,West,0
Purdue University,Midwest,0
Penn State University,Northeast,0
