ceo,American Council of Life Insurers,Lead the Way Foundation,World Health Organization,WithAll,Lutheran Social Service of Minnesota,Walker Art Center,MacPhail Center for Music,Thielen Foundation,Saint Paul and Minnesota Foundation,Greater MSP,Business Roundtable,March of Dimes Foundation,Children’s Theatre Company,Board of Directors for the U.S.-China Business Council ,AdvaMed,Asia Society ,Minnesota Business Partnership,College of Liberal Arts Development Council,Consumer Brands Association,WEF International Business Council,Northside Achievement Zone,YMCA,OneTen,Children's Heartlink,Partners in Food Solutions,First Tee,President's Export Council,National Milk Producers Federation,National Council of Farmer Cooperatives,U.S. Global Leadership Coalition,National Society of Black Engineers,Peoria Riverfront Museum,Society of Manufacturing Engineers Education Foundation,National Black MBA Association,Manufacturers Alliance for Productivity and Innovation,Brookings Institution,Conservation Fund,Executive Leadership Council,University of St. Thomas,University of Minnesota Carlson School of Management,Bank Policy Institute,Federal Advisory Council,Fire Department of New York City Foundation,Association of the United States Army,Aerospace Industries Association,National Security Telecommunications Advisory Committee,United States Brazil CEO Forum,Florida Polytechnic University,Florida Institute of Technology,College of St. Benedict,Federal Reserve Bank of Minneapolis,National Cooperative Refinery Association,Retail Industry Leaders Association,UCLA Anderson School of Management,Catalyst,National Museum of African American History and Culture,National Retail Federation,Business Council,Culinary Institute of America,Singapore Economic Development Board,University of Nottingham,European Federation of Pharmaceutical Industries,Duke Institute for Health Innovation,Imperial College Business School
Andrew Witty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Brian Cornell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Jay D. Debertin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Corie Barry,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
William M. Brown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Cecere,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dave Bozeman,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beth Ford,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Harmening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bob Frenzel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
